agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url,route_color,route_text_color
AKT:Authority:AKT_ID,AKT:Line:100,100,Arendal-Kristiansand,701,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:101,101,Eydehavn-Arendal-Grimstad N/S,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1010,10,Sykehuset - Kvadraturen,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1012,12,Kjos haveby - Justvik,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1013,13,Lokalbuss Grimsmyra - Lund,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1015,15,Tinnheia - Lund - UiA,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1019,19,Suldalen - Gimlekollen,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:102,102,Tromøy Øst-Arendal-Rykene,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:103,103,Tromøy Vest-Arendal-Hisøy,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1030,30,Kvadraturen - Mosby - Vennesl,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1031,31,Kvadraturen - Sødal -Vennesla,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1032,32,Kvadraturen - Høietun,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1034,34,Lokalbuss Vennesla,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1035,35,Kristiansand - Brattvollsheia,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1036,36,Kristiansand - Grødum,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1040,40,Kristiansand - Årosskogen,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1042,42,Tangvall - Langenes,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1043,43,Lokalbuss Søgne Vedderheia,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1044,44,Lokalbuss Søgne Ausviga,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1045,45,Kristiansand - Stokkeland,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1046,46,Kristiansand - Finsland,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1048,48,Tangvall - Hortemo,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:105,105,Arendal-Froland,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1051,51,Kvadraturen - Andøya,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1052,52,Bråvann - Slettheia,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1056,56,Rona - Odderhei,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:1057,57,Lokalbuss Flekkerøy,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:108,100D,Arendal-Kristiansand direkte,701,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:109,100E,Arendal-Kristiansand ekspress,701,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:110,110,Jovannslia-Arendal-Stoa-Myra,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:111,111,Sykehuset-Arendal-Solåsen,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:120,120,Rise-Arendal,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:130,130,Brekkestø-Lillesand,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:131,131,Telemark,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:133,133,Birkeland-Lillesand,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:134,134,Herefoss-Birkeland,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:138,138,Høvåg sk-Ulvøysund-Skottevig,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:139,139,Lillesand-Høvåg-Kristiansand,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:140,140,Grimstad-Myråsen-Homborsund,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:141,141,Feviktoppen-Haugenes,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:145,145,Grimstad-Rønnes,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:146,146,Grimstad-Rykene-Froland,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:150,150,Arendal-Tvedestrand-Risør,701,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:151,151,Tvedestrand-Staubø-Saltrød,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:152,152,Tvedestrand-Borøy,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:153,153,Tvedestrand-Gjeving,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:155,155,Tvedestrand-Vegårshei,704,,,000000,FFFF00
AKT:Authority:AKT_ID,AKT:Line:156,156,Åmli-Tvedestrand,704,,,000000,FFFF00
